name,paintings,class_weight
Vincent van Gogh,877,0.26446463383234636
Edgar Degas,702,0.3303924271666207
Pablo Picasso,439,0.5283268425306782
Pierre-Auguste Renoir,336,0.690284178187404
Albrecht Dürer,328,0.7071203776553895
Paul Gauguin,311,0.745773260035266
Francisco Goya,291,0.7970291541957655
Rembrandt,262,0.8852499384388082
Alfred Sisley,259,0.8955037987296052
Titian,255,0.90955091714105
Marc Chagall,239,0.9704413551086516
Rene Magritte,194,1.195543731293648
Amedeo Modigliani,193,1.2017382583987966
Paul Klee,188,1.2336993822923816
Henri Matisse,186,1.2469649670482137
Andy Warhol,181,1.2814115130992694
Mikhail Vrubel,171,1.3563478588945481
Sandro Botticelli,164,1.414240755310779
Leonardo da Vinci,143,1.621926460636138
Peter Paul Rubens,141,1.6449325097231755
Salvador Dali,139,1.6686006033882572
Hieronymus Bosch,137,1.692959736284436
Pieter Bruegel,134,1.7308618199325951
Diego Velazquez,128,1.8119959677419355
Kazimir Malevich,126,1.840757808499744
Frida Kahlo,120,1.9327956989247312
Giotto di Bondone,119,1.9490376795879643
Gustav Klimt,117,1.9823545629997243
Raphael,109,2.127848475880438
Joan Miro,102,2.273877292852625
Andrei Rublev,99,2.3427826653633104
